"subject_ID","percent_correct","time_mins","fin_consent_mins","age","gender","gender_text","country","country_text","Par_ID","n_attention_checks"
"5q9cbmyxnsczfmo",0.833333333333333,1.22945,0.0802166666666667,45,"Male","","Other_country","Australia","2020-04-23-JMT2",1
"g2bw3nwyg2rqv3b",0.916666666666667,0.91885,0.0639333333333333,45,"Male","","Other_country","Australia","2020-04-23-JMT",1
